timestamp,tweet_text,all_hashtags,followers_count,sentaiment_score
4/29/2020 22:33,"b'Trump: I didn\xe2\x80\x99t say it. (He did, and here is the tape.) https://t.co/LqevDpbGUd via @YouTube #Trump #DonTheCon #TrumpLIES #Pathetic #COVID19 #Coronavirus #COVID19US #CoronavirusPandemic #CoronavirusLockdown #CoronavirusUSA #CoronavirusOutbreak'","['Trump', 'DonTheCon', 'TrumpLIES', 'Pathetic', 'COVID19', 'Coronavirus', 'COVID19US', 'CoronavirusPandemic', 'CoronavirusLockdown', 'CoronavirusUSA', 'CoronavirusOutbreak']",13241,-1
4/29/2020 22:30,"b'Central Park West, a typically bustling stretch on Manhattan\xe2\x80\x99s upper Westside in New York, during peak hour today @newscomauHQ #CoronavirusUSA https://t.co/KhSSJHv4XK'",['CoronavirusUSA'],2401,-0.007575758
4/29/2020 22:30,"b'FEMA orders 100,000 new body bags as US COVID-19 death toll exceeds 60,000  @fema #CoronavirusUSA  https://t.co/cEcSYeBcsV'",['CoronavirusUSA'],321586,0.136363636
4/29/2020 22:28,b'Nothing to see here folks. Just an unusual amount of deaths in relation to the last few years.  #2A @realDonaldTrump @JesseBWatters #MAGA #Trump2020 #Trump2020Landslide #KAG #KAG2020 #coronavirus #COVID19US #CoronavirusOutbreak #Covid19 #Covid19usa #COVID_19 #CoronavirusUSA https://t.co/0PK2RuxGsx',"['2A', 'MAGA', 'Trump2020', 'Trump2020Landslide', 'KAG', 'KAG2020', 'coronavirus', 'COVID19US', 'CoronavirusOutbreak', 'Covid19', 'Covid19usa', 'COVID_19', 'CoronavirusUSA']",2741,0
4/29/2020 22:25,b'@SNICKERS is my favorite!! #EssentialWorker #essentialworkersday #thankyou #CoronavirusUSA #COVID19Pandemic https://t.co/7uQcFg5xZT',"['EssentialWorker', 'essentialworkersday', 'thankyou', 'CoronavirusUSA', 'COVID19Pandemic']",566,0.78125
4/29/2020 22:20,b'Don\xe2\x80\x99t Destroy People\xe2\x80\x99s Lives and Livelihoods https://t.co/s6MpEhMCnE #coronavirususa',['coronavirususa'],139,-0.2
4/29/2020 22:20,b'One in four Americans depend on Trump as major source of COVID-19 news - poll  @realDonaldTrump #CoronavirusUSA https://t.co/pFIc6phR08',['CoronavirusUSA'],321586,0.0625
4/29/2020 22:15,b'How accurate is US #COVID19 death count? https://t.co/fv2IzaIIbS  #CoronavirusUSA',"['COVID19', 'CoronavirusUSA']",119,0.4
4/29/2020 22:15,b'Worst #Economy in a Decade. What\xe2\x80\x99s Next? \xe2\x80\x98Worst in Our Lifetime.\xe2\x80\x99 #CoronavirusUSA #TrumpInaction @realDonaldTrump #realDonaldTrump #Trump  https://t.co/5vsBhAbB1v',"['Economy', 'CoronavirusUSA', 'TrumpInaction', 'realDonaldTrump', 'Trump']",24018,-0.666666667
4/29/2020 22:13,b'The White House Gift Shop is selling #coronavirus commemorative coins now #coronavirususa #WuhanCoronaVirus https://t.co/2OgEqitKSQ',"['coronavirus', 'coronavirususa', 'WuhanCoronaVirus']",9715,0
